         3145 function calls (3073 primitive calls) in 0.023 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        2    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        2    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
        2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap_external>:722(exec_module)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:914(get_data)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        2    0.000    0.000    0.000    0.000 posixpath.py:168(islink)
        2    0.000    0.000    0.000    0.000 posixpath.py:75(join)
        2    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        2    0.000    0.000    0.000    0.000 argparse.py:850(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:879(__call__)
        2    0.000    0.000    0.000    0.000 argparse.py:1375(add_argument_group)
        2    0.000    0.000    0.000    0.000 argparse.py:1449(_get_positional_kwargs)
        2    0.000    0.000    0.000    0.000 argparse.py:1554(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1843(take_action)
        2    0.000    0.000    0.000    0.000 argparse.py:2108(_parse_optional)
        2    0.000    0.000    0.000    0.000 argparse.py:2211(_get_nargs_pattern)
        2    0.000    0.000    0.000    0.000 argparse.py:2344(_get_values)
        2    0.000    0.000    0.000    0.000 argparse.py:2400(_get_value)
        2    0.000    0.000    0.000    0.000 argparse.py:2426(_check_value)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
        1    0.000    0.000    0.023    0.023 get_files.py:1(<module>)
        1    0.000    0.000    0.000    0.000 re.py:170(match)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.008    0.008 hashlib.py:54(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:105(_AttributeHolder)
